,No.,Time,Source,Destination,Protocol,Length,Info,Info_01,Commands,Trans,R_W,D_M_I_H,I_C_R,basic_time_diff,Response_time_diff
101,102,0.952818,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41885; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1885.0,Write,Multiple,Registers,0.0005630000000000912,
102,103,1.053111,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41886; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1886.0,Read,Discrete,Inputs,0.10029299999999985,0.10103099999999998
103,104,1.053849,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41886; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1886.0,Read,Discrete,Inputs,0.0007380000000001274,
104,105,1.054525,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41887; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1887.0,Write,Multiple,Coils,0.0006759999999998989,0.001554999999999973
105,106,1.055404,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41887; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1887.0,Write,Multiple,Coils,0.0008790000000000742,
106,107,1.055871,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41888; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1888.0,Read,Input,Registers,0.0004669999999999952,0.001298999999999939
107,108,1.056703,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41888; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1888.0,Read,Input,Registers,0.0008319999999999439,
108,109,1.057324,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41889; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1889.0,Read,Holding,Registers,0.0006209999999999827,0.0012380000000000724
109,110,1.057941,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41889; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1889.0,Read,Holding,Registers,0.0006170000000000897,
110,111,1.058305,169.254.83.9,169.254.149.247,Modbus/TCP,75,"   Query: Trans: 41890; Unit:   1, Func:  16: Write Multiple Registers",Query,Write Multiple Registers,1890.0,Write,Multiple,Registers,0.00036400000000003097,0.0013440000000000119
111,112,1.059285,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41890; Unit:   1, Func:  16: Write Multiple Registers",Response,Write Multiple Registers,1890.0,Write,Multiple,Registers,0.0009799999999999809,
112,113,1.159086,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41891; Unit:   1, Func:   2: Read Discrete Inputs",Query,Read Discrete Inputs,1891.0,Read,Discrete,Inputs,0.09980100000000003,0.10039200000000004
113,114,1.159677,169.254.149.247,169.254.83.9,Modbus/TCP,64,"Response: Trans: 41891; Unit:   1, Func:   2: Read Discrete Inputs",Response,Read Discrete Inputs,1891.0,Read,Discrete,Inputs,0.0005910000000000082,
114,115,1.160334,169.254.83.9,169.254.149.247,Modbus/TCP,68,"   Query: Trans: 41892; Unit:   1, Func:  15: Write Multiple Coils",Query,Write Multiple Coils,1892.0,Write,Multiple,Coils,0.0006569999999999077,0.0010349999999998971
115,116,1.160712,169.254.149.247,169.254.83.9,Modbus/TCP,66,"Response: Trans: 41892; Unit:   1, Func:  15: Write Multiple Coils",Response,Write Multiple Coils,1892.0,Write,Multiple,Coils,0.00037799999999998946,
116,117,1.161205,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41893; Unit:   1, Func:   4: Read Input Registers",Query,Read Input Registers,1893.0,Read,Input,Registers,0.0004930000000000767,0.0008529999999999927
117,118,1.161565,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41893; Unit:   1, Func:   4: Read Input Registers",Response,Read Input Registers,1893.0,Read,Input,Registers,0.00035999999999991594,
118,119,1.162101,169.254.83.9,169.254.149.247,Modbus/TCP,66,"   Query: Trans: 41894; Unit:   1, Func:   3: Read Holding Registers",Query,Read Holding Registers,1894.0,Read,Holding,Registers,0.000536000000000092,0.0008620000000001404
119,120,1.162427,169.254.149.247,169.254.83.9,Modbus/TCP,71,"Response: Trans: 41894; Unit:   1, Func:   3: Read Holding Registers",Response,Read Holding Registers,1894.0,Read,Holding,Registers,0.0003260000000000485,
